order_id,user_id,product_id,Category,order_date,quantity,Isvalid,Signup_date,Days_since_signup,User_segment,Cohort,months_since_signup,cohort_month,activity_month,price,day_of_week,hour_of_day,order_month,total_orders,first_order,last_order,active_days,avg_gap,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,cohort_index
O004756,U00824,P0001,Unknown,23-11-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-11,27.27,3,0,2023-11,1,23-11-2023,23-11-2023,0,,404,1,27.27,2,1,1,211,Other,
O003128,U02836,P0002,Unknown,25-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,112.08,3,0,2024-04,1,25-04-2024,25-04-2024,0,,250,1,112.08,2,1,1,211,Other,
O008551,U05068,P0002,Unknown,13-05-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-05,112.08,0,0,2024-05,1,13-05-2024,13-05-2024,0,,232,1,112.08,3,1,1,311,Recent but Low Value,
O008162,U02229,P0004,Home,21-11-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-11,397.44,3,0,2024-11,1,21-11-2024,21-11-2024,0,,40,1,397.44,3,1,3,313,Recent but Low Value,
O004766,U00936,P0005,Home,21-10-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-10,408.1,5,0,2023-10,1,21-10-2023,21-10-2023,0,,437,1,408.1,2,1,3,213,High Spender,
O011596,U00748,P0005,gadgets,09-07-2024,,Valid,21-03-2023,476,CHURNED,Mar-23,15,2023-03,2024-07,408.1,1,0,2024-07,1,09-07-2024,09-07-2024,0,,175,1,408.1,3,1,3,313,Recent but Low Value,16
O011846,U05443,P0006,gadgets,21-05-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-05,165.07,1,0,2024-05,1,21-05-2024,21-05-2024,0,,224,1,165.07,3,1,2,312,Recent but Low Value,
O003228,U00777,P0006,Beauty,11-12-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-12,165.07,2,0,2024-12,1,11-12-2024,11-12-2024,0,,20,1,165.07,3,1,2,312,Recent but Low Value,
O005233,U02736,P0007,Beauty,01-08-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-08,486.54,3,0,2024-08,1,01-08-2024,01-08-2024,0,,152,1,486.54,3,1,3,313,Recent but Low Value,
O011368,U00496,P0007,Beauty,01-02-2023,,Invalid,23-11-2024,Invalid,Invalid,Nov-24,#NUM!,2024-11,2023-02,486.54,2,0,2023-02,1,01-02-2023,01-02-2023,0,,699,1,486.54,1,1,3,113,High Spender,0
O010633,U01461,P0007,Beauty,14-10-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-10,486.54,5,0,2023-10,2,14-10-2023,21-08-2024,312,312,132,2,924.59,3,1,3,313,Recent but Low Value,
O006445,U01582,P0007,Beauty,12-08-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-08,486.54,0,0,2024-08,2,12-08-2024,25-10-2024,74,74,67,2,837.23,3,1,3,313,Recent but Low Value,
O001827,U03787,P0007,Beauty,10-03-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-03,486.54,4,0,2023-03,1,10-03-2023,10-03-2023,0,,662,1,486.54,1,1,3,113,High Spender,
